chr	-	metadataSTK11	STK11	0	145	set3-12-qual-11
chr	-	metadataNFE2L2	NFE2L2	0	143	set3-12-qual-7
chr	-	metadataCTNNB1	CTNNB1	0	127	set3-12-qual-3
chr	-	metadataCASP8	CASP8	0	102	set3-12-qual-2
chr	-	metadataIDH1	IDH1	0	98	set3-12-qual-4
chr	-	metadataKEAP1	KEAP1	0	86	set3-12-qual-5
chr	-	metadataNSD1	NSD1	0	84	set3-12-qual-8
chr	-	metadataPTEN	PTEN	0	51	set3-12-qual-9
chr	-	metadataTP53	TP53	0	49	set3-12-qual-12
chr	-	metadataRB1	RB1	0	44	set3-12-qual-10
chr	-	metadataKRAS	KRAS	0	40	set3-12-qual-6
chr	-	metadataAPC	APC	0	32	set3-12-qual-1
chr	-	9476	NAPSA	0	8000	grey
chr	-	5105	PCK1	0	7000	grey
chr	-	218	ALDH3A1	0	6000	grey
chr	-	57604	KIAA1456	0	6000	grey
chr	-	761	CA3	0	6000	grey
chr	-	1728	NQO1	0	6000	grey
chr	-	7051	TGM1	0	6000	grey
chr	-	251	ALPPL2	0	5000	grey
chr	-	360	AQP3	0	5000	grey
chr	-	9024	BRSK2	0	5000	grey
chr	-	1577	CYP3A5	0	5000	grey
chr	-	2139	EYA2	0	5000	grey
chr	-	2877	GPX2	0	5000	grey
chr	-	3081	HGD	0	5000	grey
chr	-	10637	LEFTY1	0	5000	grey
chr	-	53904	MYO3A	0	5000	grey
chr	-	55244	SLC47A1	0	5000	grey
chr	-	146802	SLC47A2	0	5000	grey
chr	-	55808	ST6GALNAC1	0	5000	grey
chr	-	1244	ABCC2	0	4000	grey
chr	-	131	ADH7	0	4000	grey
chr	-	1645	AKR1C1	0	4000	grey
chr	-	1646	AKR1C2	0	4000	grey
chr	-	8644	AKR1C3	0	4000	grey
chr	-	1109	AKR1C4	0	4000	grey
chr	-	362	AQP5	0	4000	grey
chr	-	23743	BHMT2	0	4000	grey
chr	-	767	CA8	0	4000	grey
chr	-	1036	CDO1	0	4000	grey
chr	-	1056	CEL	0	4000	grey
chr	-	1066	CES1	0	4000	grey
chr	-	4166	CHST6	0	4000	grey
chr	-	1356	CP	0	4000	grey
chr	-	1510	CTSE	0	4000	grey
chr	-	1591	CYP24A1	0	4000	grey
chr	-	1555	CYP2B6	0	4000	grey
chr	-	1551	CYP3A7	0	4000	grey
chr	-	1644	DDC	0	4000	grey
chr	-	1800	DPEP1	0	4000	grey
chr	-	2348	FOLR1	0	4000	grey
chr	-	2731	GLDC	0	4000	grey
chr	-	219970	GLYATL2	0	4000	grey
chr	-	2947	GSTM3	0	4000	grey
chr	-	3034	HAL	0	4000	grey
chr	-	9856	KIAA0319	0	4000	grey
chr	-	3897	L1CAM	0	4000	grey
chr	-	389840	MAP3K15	0	4000	grey
chr	-	22983	MAST1	0	4000	grey
chr	-	26002	MOXD1	0	4000	grey
chr	-	129807	NEU4	0	4000	grey
chr	-	55190	NUDT11	0	4000	grey
chr	-	8399	PLA2G10	0	4000	grey
chr	-	5332	PLCB4	0	4000	grey
chr	-	221687	RNF182	0	4000	grey
chr	-	142680	SLC34A3	0	4000	grey
chr	-	6539	SLC6A12	0	4000	grey
chr	-	54578	UGT1A6	0	4000	grey
chr	-	8714	ABCC3	0	3000	grey
chr	-	26	AOC1	0	3000	grey
chr	-	114	ADCY8	0	3000	grey
chr	-	126	ADH1C	0	3000	grey
chr	-	122481	AK7	0	3000	grey
chr	-	57016	AKR1B10	0	3000	grey
chr	-	441282	AKR1B15	0	3000	grey
chr	-	238	ALK	0	3000	grey
chr	-	250	ALPP	0	3000	grey
chr	-	27063	ANKRD1	0	3000	grey
chr	-	419	ART3	0	3000	grey
chr	-	57412	AS3MT	0	3000	grey
chr	-	10331	B3GNT3	0	3000	grey
chr	-	2583	B4GALNT1	0	3000	grey
chr	-	586	BCAT1	0	3000	grey
chr	-	375607	NAT16	0	3000	grey
chr	-	765	CA6	0	3000	grey
chr	-	873	CBR1	0	3000	grey
chr	-	874	CBR3	0	3000	grey
chr	-	1116	CHI3L1	0	3000	grey
chr	-	1152	CKB	0	3000	grey
chr	-	93979	CPA5	0	3000	grey
chr	-	1592	CYP26A1	0	3000	grey
chr	-	1558	CYP2C8	0	3000	grey
chr	-	57834	CYP4F11	0	3000	grey
chr	-	4051	CYP4F3	0	3000	grey
chr	-	1852	DUSP9	0	3000	grey
chr	-	5169	ENPP3	0	3000	grey
chr	-	2042	EPHA3	0	3000	grey
chr	-	2167	FABP4	0	3000	grey
chr	-	143162	FRMPD2	0	3000	grey
chr	-	89792	GAL3ST3	0	3000	grey
chr	-	114805	GALNT13	0	3000	grey
chr	-	11227	GALNT5	0	3000	grey
chr	-	57452	GALNT16	0	3000	grey
chr	-	124975	GGT6	0	3000	grey
chr	-	389396	GLYATL3	0	3000	grey
chr	-	2940	GSTA3	0	3000	grey
chr	-	23057	NMNAT2	0	3000	grey
chr	-	79730	NSUN7	0	3000	grey
chr	-	123264	SLC51B	0	3000	grey
chr	-	390928	ENSG00000183760	0	3000	grey
chr	-	64714	PDIA2	0	3000	grey
chr	-	64600	PLA2G2F	0	3000	grey
chr	-	22949	PTGR1	0	3000	grey
chr	-	5800	PTPRO	0	3000	grey
chr	-	11122	PTPRT	0	3000	grey
chr	-	5947	RBP1	0	3000	grey
chr	-	27330	RPS6KA6	0	3000	grey
chr	-	284111	SLC13A5	0	3000	grey
chr	-	8170	SLC14A2	0	3000	grey
chr	-	6565	SLC15A2	0	3000	grey
chr	-	23539	SLC16A8	0	3000	grey
chr	-	55867	SLC22A11	0	3000	grey
chr	-	8501	SLC43A1	0	3000	grey
chr	-	11254	SLC6A14	0	3000	grey
chr	-	56301	SLC7A10	0	3000	grey
chr	-	23657	SLC7A11	0	3000	grey
chr	-	25830	SULT4A1	0	3000	grey
chr	-	23043	TNIK	0	3000	grey
chr	-	7273	TTN	0	3000	grey
chr	-	7358	UGDH	0	3000	grey
chr	-	54577	UGT1A7	0	3000	grey
chr	-	54600	UGT1A1	0	3000	grey
chr	-	65268	WNK2	0	3000	grey
chr	-	65267	WNK3	0	3000	grey
chr	-	10058	ABCB6	0	2000	grey
chr	-	4363	ABCC1	0	2000	grey
chr	-	10057	ABCC5	0	2000	grey
chr	-	51703	ACSL5	0	2000	grey
chr	-	23305	ACSL6	0	2000	grey
chr	-	111	ADCY5	0	2000	grey
chr	-	84803	AGPAT9	0	2000	grey
chr	-	231	AKR1B1	0	2000	grey
chr	-	216	ALDH1A1	0	2000	grey
chr	-	224	ALDH3A2	0	2000	grey
chr	-	230	ALDOC	0	2000	grey
chr	-	246	ALOX15	0	2000	grey
chr	-	144193	AMDHD1	0	2000	grey
chr	-	403314	APOBEC4	0	2000	grey
chr	-	80150	ASRGL1	0	2000	grey
chr	-	481	ATP1B1	0	2000	grey
chr	-	952	CD38	0	2000	grey
chr	-	9023	CH25H	0	2000	grey
chr	-	166012	CHST13	0	2000	grey
chr	-	64377	CHST8	0	2000	grey
chr	-	83539	CHST9	0	2000	grey
chr	-	1373	CPS1	0	2000	grey
chr	-	1515	CTSV	0	2000	grey
chr	-	1594	CYP27B1	0	2000	grey
chr	-	1571	CYP2E1	0	2000	grey
chr	-	51302	CYP39A1	0	2000	grey
chr	-	1621	DBH	0	2000	grey
chr	-	26052	DNM3	0	2000	grey
chr	-	1809	DPYSL3	0	2000	grey
chr	-	78986	DUSP26	0	2000	grey
chr	-	1846	DUSP4	0	2000	grey
chr	-	54898	ELOVL2	0	2000	grey
chr	-	2027	ENO3	0	2000	grey
chr	-	954	ENTPD2	0	2000	grey
chr	-	956	ENTPD3	0	2000	grey
chr	-	2049	EPHB3	0	2000	grey
chr	-	2052	EPHX1	0	2000	grey
chr	-	2066	ERBB4	0	2000	grey
chr	-	10595	ERN2	0	2000	grey
chr	-	2168	FABP1	0	2000	grey
chr	-	2172	FABP6	0	2000	grey
chr	-	2235	FECH	0	2000	grey
chr	-	2261	FGFR3	0	2000	grey
chr	-	2264	FGFR4	0	2000	grey
chr	-	50486	G0S2	0	2000	grey
chr	-	2539	G6PD	0	2000	grey
chr	-	2571	GAD1	0	2000	grey
chr	-	2645	GCK	0	2000	grey
chr	-	2729	GCLC	0	2000	grey
chr	-	2730	GCLM	0	2000	grey
chr	-	2651	GCNT2	0	2000	grey
chr	-	9245	GCNT3	0	2000	grey
chr	-	150763	GPAT2	0	2000	grey
chr	-	2936	GSR	0	2000	grey
chr	-	2946	GSTM2	0	2000	grey
chr	-	8908	GYG2	0	2000	grey
chr	-	3038	HAS3	0	2000	grey
chr	-	164045	HFM1	0	2000	grey
chr	-	3248	HPGD	0	2000	grey
chr	-	54979	HRASLS2	0	2000	grey
chr	-	9957	HS3ST1	0	2000	grey
chr	-	9955	HS3ST3A1	0	2000	grey
chr	-	10553	HTATIP2	0	2000	grey
chr	-	30811	HUNK	0	2000	grey
chr	-	3815	KIT	0	2000	grey
chr	-	8942	KYNU	0	2000	grey
chr	-	4023	LPL	0	2000	grey
chr	-	9890	ENSG00000117600	0	2000	grey
chr	-	140733	MACROD2	0	2000	grey
chr	-	4129	MAOB	0	2000	grey
chr	-	5596	MAPK4	0	2000	grey
chr	-	129642	MBOAT2	0	2000	grey
chr	-	4199	ME1	0	2000	grey
chr	-	4257	MGST1	0	2000	grey
chr	-	9108	MTMR7	0	2000	grey
chr	-	91807	MYLK3	0	2000	grey
chr	-	140469	MYO3B	0	2000	grey
chr	-	4881	NPR1	0	2000	grey
chr	-	4882	NPR2	0	2000	grey
chr	-	4948	OCA2	0	2000	grey
chr	-	29943	PADI1	0	2000	grey
chr	-	5053	PAH	0	2000	grey
chr	-	5071	PARK2	0	2000	grey
chr	-	5144	PDE4D	0	2000	grey
chr	-	5158	PDE6B	0	2000	grey
chr	-	8622	PDE8B	0	2000	grey
chr	-	5226	PGD	0	2000	grey
chr	-	51268	PIPOX	0	2000	grey
chr	-	5320	PLA2G2A	0	2000	grey
chr	-	26279	PLA2G2D	0	2000	grey
chr	-	5321	PLA2G4A	0	2000	grey
chr	-	123745	PLA2G4E	0	2000	grey
chr	-	9651	PLCH2	0	2000	grey
chr	-	5365	PLXNB3	0	2000	grey
chr	-	139728	PNCK	0	2000	grey
chr	-	5475	PPEF1	0	2000	grey
chr	-	84152	PPP1R1B	0	2000	grey
chr	-	5052	PRDX1	0	2000	grey
chr	-	5743	PTGS2	0	2000	grey
chr	-	5783	PTPN13	0	2000	grey
chr	-	26191	PTPN22	0	2000	grey
chr	-	25797	QPCT	0	2000	grey
chr	-	5959	RDH5	0	2000	grey
chr	-	5979	RET	0	2000	grey
chr	-	6098	ROS1	0	2000	grey
chr	-	9252	RPS6KA5	0	2000	grey
chr	-	388228	SBK1	0	2000	grey
chr	-	195814	SDR16C5	0	2000	grey
chr	-	57468	SLC12A5	0	2000	grey
chr	-	6509	SLC1A4	0	2000	grey
chr	-	85413	SLC22A16	0	2000	grey
chr	-	5002	SLC22A18	0	2000	grey
chr	-	6581	SLC22A3	0	2000	grey
chr	-	89874	SLC25A21	0	2000	grey
chr	-	154091	SLC2A12	0	2000	grey
chr	-	6517	SLC2A4	0	2000	grey
chr	-	92745	SLC38A5	0	2000	grey
chr	-	55630	SLC39A4	0	2000	grey
chr	-	283375	SLC39A5	0	2000	grey
chr	-	80736	SLC44A4	0	2000	grey
chr	-	8671	SLC4A4	0	2000	grey
chr	-	6528	SLC5A5	0	2000	grey
chr	-	6542	SLC7A2	0	2000	grey
chr	-	6543	SLC8A2	0	2000	grey
chr	-	6547	SLC8A3	0	2000	grey
chr	-	6579	SLCO1A2	0	2000	grey
chr	-	6578	SLCO2A1	0	2000	grey
chr	-	84620	ST6GAL2	0	2000	grey
chr	-	6770	STAR	0	2000	grey
chr	-	56164	STK31	0	2000	grey
chr	-	202374	STK32A	0	2000	grey
chr	-	6799	SULT1A2	0	2000	grey
chr	-	6888	TALDO1	0	2000	grey
chr	-	29953	TRHDE	0	2000	grey
chr	-	84676	TRIM63	0	2000	grey
chr	-	254173	TTLL10	0	2000	grey
chr	-	7296	TXNRD1	0	2000	grey
chr	-	7295	TXN	0	2000	grey
chr	-	54658	UGT1A1	0	2000	grey
chr	-	54659	UGT1A1	0	2000	grey
chr	-	54657	UGT1A4	0	2000	grey
chr	-	54579	UGT1A1	0	2000	grey
chr	-	9099	USP2	0	2000	grey
chr	-	283576	ZDHHC22	0	2000	grey
chr	-	13	AADAC	0	1000	grey
chr	-	51166	AADAT	0	1000	grey
