	NRxnMetInHMR2	NRxnMetInList	
3(S)-hydroxy-11-cis-eicosenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-11-cis-eicosenoyl-CoA[m]	2.0000	2.0000	
3(S)-hydroxy-11-cis-eicosenoyl-CoA[p]	2.0000	2.0000	
3(S)-hydroxy-13-cis-docosenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-13-cis-docosenoyl-CoA[m]	2.0000	2.0000	
3(S)-hydroxy-13-cis-docosenoyl-CoA[p]	2.0000	2.0000	
3(S)-hydroxy-13-cis-eicosenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-13-cis-eicosenoyl-CoA[m]	2.0000	2.0000	
3(S)-hydroxy-13-cis-eicosenoyl-CoA[p]	2.0000	0.0000	
3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA[m]	2.0000	0.0000	
3(S)-hydroxy-3-oxo-eicosadienoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA[m]	2.0000	0.0000	
3(S)-hydroxy-4-methyl-pentanoyl-CoA[m]	2.0000	0.0000	
3(S)-hydroxy-9-cis-eicosenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-cis-15-tetracosaenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-cis-15-tetracosaenoyl-CoA[p]	2.0000	2.0000	
3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA[c]	2.0000	0.0000	
3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA[m]	2.0000	2.0000	
3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA[p]	2.0000	0.0000	
3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-docosa-13,16,19-all-cis-trienoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-hexacosenoyl-CoA[c]	2.0000	2.0000	
3(S)-hydroxy-hexacosenoyl-CoA[p]	2.0000	2.0000	
3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA[c]	4.0000	3.0000	
3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA[p]	2.0000	0.0000	
3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA[c]	2.0000	2.0000	
3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[c]	2.0000	0.0000	
3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[r]	2.0000	0.0000	
3,3-diiodo-L-thyronine[c]	5.0000	2.0000	
3,3-diiodo-L-thyronine[r]	3.0000	0.0000	
3,3-diiodo-L-thyronine-4-O-sulfate[c]	2.0000	2.0000	
3,3-diiodo-L-thyronine-beta-D-glucuronoside[c]	1.0000	0.0000	
3,3-diiodo-L-thyronine-beta-D-glucuronoside[r]	1.0000	0.0000	
3,4-dihydro-1,4-benzothiazine-3-carboxylate[c]	2.0000	0.0000	
3,4-dihydro-3-hydroxy-4-S-glutathionyl bromobenzene[c]	2.0000	0.0000	
3,4-dihydroxy-5-all-trans-decaprenylbenzoate[m]	2.0000	0.0000	
3,4-dihydroxymandelaldehyde[c]	5.0000	1.0000	
3,4-dihydroxymandelate[c]	4.0000	1.0000	
3,4-dihydroxyphenylacetaldehyde[c]	4.0000	0.0000	
3,4-dihydroxyphenylacetate[c]	3.0000	0.0000	
3,4-dihydroxyphenylethyleneglycol[c]	3.0000	1.0000	
3,4-dihydroxyphenylethyleneglycol[s]	2.0000	0.0000	
3,4-epoxynonanal[c]	2.0000	0.0000	
3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[c]	2.0000	0.0000	
3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[r]	2.0000	0.0000	
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[c]	1.0000	0.0000	
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[r]	1.0000	0.0000	
3,5,3-triiodothyronine-4-sulfate[c]	4.0000	1.0000	
3,5,3-triiodothyronine-4-sulfate[s]	2.0000	0.0000	
3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine[c]	2.0000	0.0000	
3,5-diiodo-L-thyronine[c]	5.0000	0.0000	
3,5-diiodo-L-thyronine[r]	3.0000	0.0000	
3,5-diiodo-L-thyronine-4-O-sulfate[c]	2.0000	0.0000	
3,5-diiodo-L-thyronine-beta-D-glucuronoside[c]	1.0000	0.0000	
3,5-diiodo-L-thyronine-beta-D-glucuronoside[r]	1.0000	0.0000	
3,5-diiodo-L-tyrosine[c]	4.0000	0.0000	
3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[m]	2.0000	0.0000	
3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[p]	2.0000	0.0000	
3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[m]	2.0000	0.0000	
3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA[p]	2.0000	0.0000	
3,7,24THCA[c]	2.0000	0.0000	
3,7,24THCA[m]	2.0000	0.0000	
3,7,24THCA-CoA[c]	2.0000	0.0000	
3,7,24THCA-CoA[p]	2.0000	0.0000	
3,8-LD1[c]	3.0000	0.0000	
3,8-LD1[g]	2.0000	0.0000	
3,8-LD1[s]	2.0000	0.0000	
3alpha,12alpha-dihydroxy-5beta-cholanate[c]	4.0000	0.0000	
3alpha,12alpha-dihydroxy-5beta-cholanate[r]	3.0000	0.0000	
3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al[m]	2.0000	0.0000	
3alpha,7alpha,12alpha,25-tetrahydroxy-5beta-cholestane-24-one[r]	2.0000	1.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA[m]	2.0000	1.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-24-oxocholestanoyl-CoA[p]	2.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA[m]	2.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA[p]	3.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[c]	3.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al[m]	4.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al[m]	2.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[c]	6.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[m]	3.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[p]	3.0000	0.0000	
3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate[r]	2.0000	0.0000	
3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al[m]	2.0000	0.0000	
3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl coa[p]	2.0000	0.0000	
3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA[p]	2.0000	0.0000	
3alpha,7alpha-dihydroxy-5beta-cholestan-26-al[c]	2.0000	2.0000	
3alpha,7alpha-dihydroxy-5beta-cholestan-26-al[m]	2.0000	0.0000	
3alpha,7alpha-dihydroxy-5beta-cholestan-27-al[m]	2.0000	0.0000	
3alpha,7alpha-dihydroxy-5beta-cholestanate[c]	5.0000	2.0000	
3alpha,7alpha-dihydroxy-5beta-cholestanate[m]	3.0000	1.0000	
3alpha,7alpha-dihydroxy-5beta-cholestanate[p]	2.0000	0.0000	
3alpha,7alpha-dihydroxy-5beta-cholestanate[r]	2.0000	0.0000	
3alpha-hydroxy-5alpha-pregnan-20-one[c]	2.0000	0.0000	
3-amino-propanal[c]	4.0000	0.0000	
3beta,7alpha-dihydroxy-5-cholestenoate[m]	3.0000	0.0000	
3-beta-D-glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein[g]	3.0000	0.0000	
3beta-hydroxy-5-cholestenal[m]	2.0000	0.0000	
3beta-hydroxy-5-cholestene-27-oate[m]	2.0000	0.0000	
3-carboxy-1-hydroxypropyl-ThPP[m]	2.0000	2.0000	
3-carboxy-alpha-chromanol[c]	4.0000	0.0000	
3-carboxy-alpha-chromanol[m]	2.0000	0.0000	
3-decaprenyl-4-hydroxybenzoate[m]	2.0000	0.0000	
3-dehydro-L-gulonate[c]	2.0000	0.0000	
3-dehydrosphinganine[c]	2.0000	2.0000	
3-demethylubiquinol-10[m]	2.0000	0.0000	
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid[c]	2.0000	0.0000	
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid[s]	2.0000	0.0000	
3-deoxy-D-glycero-D-galacto-2-nonulosonic acid-9-phosphate[c]	2.0000	1.0000	
3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA[m]	2.0000	0.0000	
3-hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA[p]	2.0000	0.0000	
3-hydroxyacyl group of bacterial toxin[c]	1.0000	0.0000	
3-hydroxyanthranilate[c]	3.0000	0.0000	
3-hydroxydocosanoyl-CoA[c]	2.0000	2.0000	
3-hydroxydocosanoyl-CoA[m]	2.0000	2.0000	
3-hydroxydocosanoyl-CoA[p]	2.0000	0.0000	
3-hydroxyeicosanoyl-CoA[c]	2.0000	2.0000	
3-hydroxyeicosanoyl-CoA[m]	2.0000	2.0000	
3-hydroxyeicosanoyl-CoA[p]	2.0000	0.0000	
3-hydroxyheneicosanoyl-CoA[c]	2.0000	2.0000	
3-hydroxyheneicosanoyl-CoA[m]	2.0000	2.0000	
3-hydroxyheptadecanoyl-[ACP][c]	2.0000	2.0000	
3-hydroxyheptadecanoyl-CoA[m]	2.0000	2.0000	
3-hydroxyheptanoyl-[ACP][c]	2.0000	2.0000	
3-hydroxyheptanoyl-CoA[m]	2.0000	2.0000	
3-hydroxyhexacosanoyl-CoA[c]	2.0000	2.0000	
3-hydroxyhexacosanoyl-CoA[p]	2.0000	0.0000	
3-hydroxyisobutyrate[m]	2.0000	0.0000	
3-hydroxyisobutyryl-CoA[m]	2.0000	0.0000	
3-hydroxykynurenamine[c]	2.0000	0.0000	
3-hydroxykynurenine-O-beta-D-glucoside[c]	4.0000	0.0000	
3-hydroxy-L-kynurenine[c]	5.0000	1.0000	
3-hydroxy-N6,N6,N6-trimethyl-L-lysine[c]	2.0000	0.0000	
3-hydroxynonadecanoyl-CoA[c]	2.0000	2.0000	
3-hydroxynonadecanoyl-CoA[m]	2.0000	2.0000	
3-hydroxynonanoyl-[ACP][c]	2.0000	2.0000	
3-hydroxynonanoyl-CoA[m]	2.0000	2.0000	
3-hydroxyoctadecanoyl-CoA[c]	2.0000	2.0000	
3-hydroxyoctadecanoyl-CoA[m]	2.0000	2.0000	
3-hydroxyoctadecanoyl-CoA[p]	2.0000	0.0000	
3-hydroxypentadecanoyl-[ACP][c]	2.0000	2.0000	
3-hydroxypentadecanoyl-CoA[m]	2.0000	2.0000	
3-hydroxypentanoyl-[ACP][c]	2.0000	2.0000	
3-hydroxypentanoyl-CoA[m]	2.0000	2.0000	
3-hydroxypristanoyl-CoA[p]	2.0000	0.0000	
3-hydroxypropionyl-CoA[m]	3.0000	3.0000	
3-hydroxytetracosanoyl-CoA[c]	2.0000	2.0000	
3-hydroxytetracosanoyl-CoA[p]	2.0000	0.0000	
3-hydroxy-THA-CoA[p]	2.0000	0.0000	
3-hydroxytricosanoyl-CoA[c]	2.0000	2.0000	
3-hydroxytridecanoyl-[ACP][c]	2.0000	2.0000	
3-hydroxytridecanoyl-CoA[m]	2.0000	2.0000	
3-hydroxyundecanoyl-[ACP][c]	2.0000	2.0000	
3-hydroxyundecanoyl-CoA[m]	2.0000	2.0000	
3-iodo-L-tyrosine[c]	5.0000	0.0000	
3-isoLM1[c]	2.0000	0.0000	
3-keto-4-methylzymosterol[c]	3.0000	1.0000	
3-keto-beta-D-galactose[s]	1.0000	0.0000	
3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA[c]	2.0000	2.0000	
3-ketolactose[s]	2.0000	0.0000	
3-ketopristanoyl-CoA[p]	2.0000	0.0000	
3-keto-THA-CoA[p]	2.0000	0.0000	
3-mercaptolactate[c]	2.0000	1.0000	
3-mercaptolactate-cysteine-disulfide[c]	2.0000	0.0000	
3-mercaptolactate-cysteine-disulfide[s]	2.0000	0.0000	
3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate[m]	2.0000	0.0000	
3-methoxy-4-hydroxyphenylacetaldehyde[c]	3.0000	0.0000	
3-methoxy-4-hydroxyphenylethyleneglycol[c]	1.0000	0.0000	
3-methoxy-4-hydroxyphenylglycolaldehyde[c]	4.0000	0.0000	
3-methoxytyramine[c]	3.0000	0.0000	
3-methyl-2-oxobutanoate-dehydrogenase[c]	1.0000	0.0000	
3-methyl-2-oxobutanoate-dehydrogenase-phosphate[c]	1.0000	0.0000	
3-methyl-2-oxobutyrate[c]	2.0000	0.0000	
3-methyl-2-oxobutyrate[m]	4.0000	0.0000	
3-methylcrotonoylglycine[m]	1.0000	0.0000	
3-methylcrotonyl-CoA[m]	4.0000	2.0000	
3-methylglutaconyl-CoA[m]	2.0000	1.0000	
3-monoiodo-L-thyronine[c]	3.0000	0.0000	
3-monoiodo-L-thyronine[r]	2.0000	0.0000	
3-monoiodo-L-thyronine-4-O-sulfate[c]	2.0000	0.0000	
3-O-methyldopa[c]	2.0000	0.0000	
3-oxo-(2S)-methylisocapryloyl-CoA[m]	2.0000	0.0000	
3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA[p]	2.0000	0.0000	
3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA[p]	2.0000	0.0000	
3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA[m]	2.0000	2.0000	
3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA[p]	2.0000	2.0000	
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[c]	2.0000	0.0000	
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[m]	3.0000	0.0000	
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[p]	2.0000	0.0000	
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[m]	2.0000	0.0000	
3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[p]	2.0000	0.0000	
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[c]	2.0000	0.0000	
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[m]	3.0000	0.0000	
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate[p]	2.0000	0.0000	
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[m]	2.0000	0.0000	
3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA[p]	2.0000	0.0000	
3-oxo-11cis-docosenoyl-CoA[c]	2.0000	2.0000	
3-oxo-11-cis-eicosenoyl-CoA[c]	2.0000	2.0000	
3-oxo-11-cis-eicosenoyl-CoA[m]	2.0000	2.0000	
3-oxo-11-cis-eicosenoyl-CoA[p]	2.0000	2.0000	
3-oxo-11-cis-octadecenoyl-CoA[m]	2.0000	2.0000	
3-oxo-11-cis-octadecenoyl-CoA[p]	2.0000	0.0000	
3-oxo-13cis-docosenoyl-CoA[c]	2.0000	2.0000	
3-oxo-13cis-docosenoyl-CoA[m]	2.0000	2.0000	
3-oxo-13cis-docosenoyl-CoA[p]	2.0000	2.0000	
3-oxo-13-cis-eicosenoyl-CoA[c]	2.0000	2.0000	
3-oxo-13-cis-eicosenoyl-CoA[m]	2.0000	2.0000	
3-oxo-13-cis-eicosenoyl-CoA[p]	2.0000	0.0000	
3-oxo-4(R),8-dimethyl-nonanoyl-CoA[m]	2.0000	0.0000	
3-oxo-4-methyl-pentanoyl-CoA[m]	2.0000	0.0000	
3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA[m]	2.0000	0.0000	
3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA[p]	2.0000	0.0000	
3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate[m]	2.0000	0.0000	
3-oxo-6(S)-hydroxy-tetradec-(8Z)-enoate[m]	2.0000	0.0000	
3-oxo-7-hexadecenoyl-CoA[m]	2.0000	2.0000	
3-oxo-7-hexadecenoyl-CoA[p]	2.0000	2.0000	
3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate[m]	2.0000	0.0000	
3-oxo-8(S)-hydroxy-hexadeca-(6E,10Z)-dienoate[m]	2.0000	2.0000	
3-oxo-9-cis-eicosenoyl-CoA[c]	2.0000	2.0000	
3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA[p]	2.0000	0.0000	
3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[m]	2.0000	2.0000	
3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[p]	2.0000	0.0000	
3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[m]	2.0000	2.0000	
3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[p]	2.0000	0.0000	
3-oxo-cis-15-tetracosaenoyl-CoA[c]	2.0000	2.0000	
3-oxo-cis-15-tetracosaenoyl-CoA[p]	2.0000	2.0000	
3-oxodecanoyl-[ACP][c]	2.0000	2.0000	
3-oxodecanoyl-CoA[m]	2.0000	2.0000	
3-oxodecanoyl-CoA[p]	2.0000	2.0000	
3-oxo-dihomo-gamma-linolenoyl-CoA[c]	2.0000	0.0000	
3-oxo-dihomo-gamma-linolenoyl-CoA[m]	2.0000	2.0000	
3-oxo-dihomo-gamma-linolenoyl-CoA[p]	2.0000	0.0000	
3-oxodocasa-cis,cis-13,16-dienoyl-CoA[c]	2.0000	2.0000	
3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA[c]	2.0000	2.0000	
3-oxo-docosa-13,16,19-all-cis-trienoyl-CoA[c]	2.0000	2.0000	
3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA[c]	2.0000	2.0000	
3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA[c]	2.0000	2.0000	
3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA[c]	2.0000	2.0000	
3-oxodocosanoyl-CoA[c]	2.0000	2.0000	
3-oxodocosanoyl-CoA[m]	2.0000	2.0000	
3-oxodocosanoyl-CoA[p]	2.0000	0.0000	
3-oxododecanoyl-[ACP][c]	2.0000	2.0000	
3-oxododecanoyl-CoA[m]	2.0000	2.0000	
3-oxododecanoyl-CoA[p]	2.0000	2.0000	
3-oxoeicosa-cis,cis,cis-11,14,17-trienoyl-CoA[c]	2.0000	2.0000	
3-oxoeicosa-cis,cis-11,14-dienoyl-CoA[c]	2.0000	2.0000	
3-oxo-eicosadienoyl-CoA[c]	2.0000	2.0000	
3-oxoeicosanoyl-CoA[c]	2.0000	2.0000	
3-oxoeicosanoyl-CoA[m]	2.0000	2.0000	
3-oxoeicosanoyl-CoA[p]	2.0000	0.0000	
3-oxoheneicosanoyl-CoA[c]	2.0000	2.0000	
3-oxoheneicosanoyl-CoA[m]	2.0000	2.0000	
3-oxoheptadecanoyl-[ACP][c]	2.0000	2.0000	
3-oxoheptadecanoyl-CoA[m]	2.0000	2.0000	
3-oxoheptanoyl-[ACP][c]	2.0000	2.0000	
3-oxoheptanoyl-CoA[m]	2.0000	2.0000	
3-oxohexacosanoyl-CoA[c]	2.0000	2.0000	
3-oxohexacosanoyl-CoA[p]	2.0000	0.0000	
3-oxo-hexacosenoyl-CoA[c]	2.0000	2.0000	
3-oxo-hexacosenoyl-CoA[p]	2.0000	2.0000	
3-oxohexadecanoyl-[ACP][c]	2.0000	2.0000	
3-oxohexanoyl-[ACP][c]	2.0000	2.0000	
3-oxohexanoyl-CoA[m]	2.0000	2.0000	
3-oxohexanoyl-CoA[p]	2.0000	0.0000	
3-oxolaur-6-cis-enoyl-CoA[m]	2.0000	2.0000	
3-oxolaur-6-cis-enoyl-CoA[p]	2.0000	0.0000	
3-oxolinoleoyl-CoA[m]	2.0000	2.0000	
3-oxolinoleoyl-CoA[p]	2.0000	0.0000	
3-oxomyrist-5-enoyl-CoA[m]	2.0000	2.0000	
3-oxomyrist-5-enoyl-CoA[p]	2.0000	2.0000	
3-oxomyrist-7-enoyl-CoA[m]	2.0000	2.0000	
3-oxomyrist-7-enoyl-CoA[p]	2.0000	0.0000	
3-oxononadecanoyl-CoA[c]	2.0000	2.0000	
3-oxononadecanoyl-CoA[m]	2.0000	2.0000	
3-oxononanoyl-[ACP][c]	2.0000	2.0000	
3-oxononanoyl-CoA[m]	2.0000	2.0000	
3-oxooctadecanoyl-CoA[c]	2.0000	2.0000	
3-oxooctadecanoyl-CoA[m]	2.0000	2.0000	
3-oxooctadecanoyl-CoA[p]	2.0000	0.0000	
3-oxooctanoyl-[ACP][c]	2.0000	2.0000	
3-oxooctanoyl-CoA[m]	2.0000	2.0000	
3-oxooctanoyl-CoA[p]	2.0000	0.0000	
3-oxooleoyl-CoA[m]	2.0000	2.0000	
3-oxooleoyl-CoA[p]	2.0000	2.0000	
3-oxopalmitoleoyl-CoA[m]	2.0000	2.0000	
3-oxopalmitoleoyl-CoA[p]	2.0000	0.0000	
3-oxopalmitoyl-CoA[m]	2.0000	2.0000	
3-oxopalmitoyl-CoA[p]	2.0000	0.0000	
3-oxopentadecanoyl-[ACP][c]	2.0000	2.0000	
3-oxopentadecanoyl-CoA[m]	2.0000	2.0000	
3-oxopentanoyl-[ACP][c]	2.0000	2.0000	
3-oxopentanoyl-CoA[m]	2.0000	2.0000	
3-oxopropanoate[m]	3.0000	2.0000	
3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA[c]	2.0000	2.0000	
3-oxo-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA[c]	2.0000	2.0000	
3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA[c]	2.0000	0.0000	
3-oxotetracosanoyl-CoA[c]	2.0000	2.0000	
3-oxotetracosanoyl-CoA[p]	2.0000	0.0000	
3-oxotetradecanoyl-[ACP][c]	2.0000	2.0000	
3-oxotetradecanoyl-CoA[m]	2.0000	2.0000	
3-oxotetradecanoyl-CoA[p]	2.0000	0.0000	
3-oxotricosanoyl-CoA[c]	2.0000	2.0000	
3-oxotridecanoyl-[ACP][c]	2.0000	2.0000	
3-oxotridecanoyl-CoA[m]	2.0000	2.0000	
3-oxoundecanoyl-[ACP][c]	2.0000	2.0000	
3-oxoundecanoyl-CoA[m]	2.0000	2.0000	
3-phosphoadenylylselenate[c]	2.0000	0.0000	
3-phospho-D-glycerate[c]	8.0000	4.0000	
3-phospho-D-glycerate[m]	2.0000	0.0000	
3-phosphonooxypyruvate[c]	2.0000	1.0000	
3-phosphopolynucleotide[c]	1.0000	0.0000	
3-phosphoserine[c]	2.0000	0.0000	
3-succinoylpyridine[c]	3.0000	0.0000	
3-sulfinoalanine[c]	6.0000	2.0000	
3-sulfinoalanine[m]	4.0000	2.0000	
3-sulfinylpyruvic acid[c]	2.0000	0.0000	
3-sulfinylpyruvic acid[m]	2.0000	0.0000	
3-sulfopyruvate[c]	2.0000	2.0000	
3-sulfopyruvate[m]	2.0000	2.0000	
3-UMP[c]	1.0000	0.0000	
3-ureidoisobutyrate[c]	2.0000	0.0000	
3-ureidopropionate[c]	2.0000	0.0000	
4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate[c]	2.0000	0.0000	
4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid-O-glucoside[c]	2.0000	0.0000	
4-(2-aminophenyl)-2,4-dioxobutanoate[c]	2.0000	1.0000	
4-(methylnitrosamino)-1-(1-oxido-3-pyridinyl)-1-butanone[c]	3.0000	0.0000	
4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide[c]	2.0000	0.0000	
4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol[c]	6.0000	0.0000	
4-(methylnitrosamino)-1-(3-pyridyl-N-oxide)-1-butanol[c]	2.0000	0.0000	
4-(nitrosoamino)-1-(3-pyridinyl)-1-butanone[c]	2.0000	0.0000	
4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone[c]	5.0000	0.0000	
4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone[s]	2.0000	0.0000	
4(R),8-dimethyl-nonanoyl-CoA[c]	2.0000	0.0000	
4(R),8-dimethyl-nonanoyl-CoA[m]	2.0000	0.0000	
4(R),8-dimethyl-nonanoyl-CoA[p]	2.0000	0.0000	
4(R),8-dimethyl-trans-2-nonenoyl-CoA[m]	2.0000	0.0000	
4(R)-hydroxy-dodec-(6Z)-enoate[m]	2.0000	0.0000	
4(S)-hydroxy-dodec-(6Z)-enoate[m]	2.0000	0.0000	
4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	2.0000	2.0000	
4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol[c]	2.0000	2.0000	
4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	2.0000	2.0000	
4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol[c]	2.0000	2.0000	
4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c]	2.0000	2.0000	
4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol[c]	2.0000	2.0000	
4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol[c]	2.0000	2.0000	
4,5-dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene[c]	2.0000	1.0000	
4,6,7-trihydroxy-1,2,3,4-tetrahydroisoquinoline[c]	2.0000	0.0000	
4,6-dideoxy-4-oxo-dTDP-D-glucose[c]	2.0000	0.0000	
4,6-dihydroxyquinoline[c]	2.0000	0.0000	
4,8,12-trimethyltridecanoyl-CoA[p]	2.0000	0.0000	
4,8-dihydroxyquinoline[c]	2.0000	0.0000	
4,8-dimethylnonanoylcarnitine[c]	2.0000	0.0000	
4,8-dimethylnonanoylcarnitine[m]	2.0000	0.0000	
4-[(hydroxymethyl)nitrosoamino]-1-(3-pyridinyl)-1-butanone[c]	2.0000	0.0000	
4-acetamidobutanoate[c]	2.0000	1.0000	
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	3.0000	1.0000	
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c]	2.0000	2.0000	
4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[c]	2.0000	0.0000	
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol[c]	2.0000	2.0000	
4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]	2.0000	2.0000	
4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[c]	2.0000	2.0000	
