	NRxnMetInHMR2	NRxnMetInList	
(13Z)-eicosenoyl-CoA[r]	3.0000	1.0000	
(13Z)-octadecenoic acid[c]	13.0000	4.0000	
(13Z)-octadecenoic acid[l]	2.0000	0.0000	
(13Z)-octadecenoic acid[r]	3.0000	1.0000	
(13Z)-octadecenoic acid[s]	5.0000	2.0000	
(13Z)-octadecenoyl-CoA[c]	15.0000	6.0000	
(13Z)-octadecenoyl-CoA[m]	2.0000	2.0000	
(13Z)-octadecenoyl-CoA[r]	3.0000	1.0000	
(13Z,16Z)-docosadienoic acid[c]	13.0000	4.0000	
(13Z,16Z)-docosadienoic acid[l]	2.0000	0.0000	
(13Z,16Z)-docosadienoic acid[r]	3.0000	1.0000	
(13Z,16Z)-docosadienoic acid[s]	5.0000	2.0000	
(13Z,16Z)-docosadienoylcarnitine[c]	3.0000	3.0000	
(13Z,16Z)-docosadienoylcarnitine[m]	2.0000	2.0000	
(13Z,16Z)-docosadienoylcarnitine[r]	2.0000	1.0000	
(13Z,16Z)-docosadienoyl-CoA[c]	14.0000	5.0000	
(13Z,16Z)-docosadienoyl-CoA[m]	2.0000	2.0000	
(13Z,16Z)-docosadienoyl-CoA[r]	3.0000	1.0000	
(15Z)-tetracosenoylcarnitine[c]	2.0000	2.0000	
(15Z)-tetracosenoylcarnitine[r]	2.0000	1.0000	
(15Z)-tetracosenoyl-CoA[c]	16.0000	6.0000	
(15Z)-tetracosenoyl-CoA[p]	3.0000	2.0000	
(15Z)-tetracosenoyl-CoA[r]	3.0000	1.0000	
(18E)-20-oxo-20-CoA-LTB4[m]	2.0000	0.0000	
(18E)-20-oxo-20-CoA-LTB4[p]	2.0000	0.0000	
(18E)-20-oxo-20-CoA-LTE4[p]	2.0000	0.0000	
(18R)-HEPE[c]	2.0000	0.0000	
(18R)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoic acid[c]	2.0000	0.0000	
(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol[c]	2.0000	0.0000	
(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene[c]	2.0000	0.0000	
(1R,2S)-naphthalene 1,2-oxide[c]	6.0000	0.0000	
(1R,2S)-naphthalene 1,2-oxide[s]	2.0000	0.0000	
(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene[c]	2.0000	0.0000	
(1S,2R)-naphthalene 1,2-oxide[c]	5.0000	0.0000	
(24R)-24,25-dihydroxycalciol[c]	4.0000	0.0000	
(24R)-24,25-dihydroxycalciol[m]	4.0000	0.0000	
(24R)-24,25-dihydroxycalciol[s]	2.0000	0.0000	
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[m]	2.0000	1.0000	
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA[p]	3.0000	0.0000	
(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA[p]	3.0000	0.0000	
(2E)-decenoyl-[ACP][c]	2.0000	2.0000	
(2E)-decenoyl-CoA[m]	3.0000	3.0000	
(2E)-decenoyl-CoA[p]	3.0000	3.0000	
(2E)-docosenoyl-CoA[c]	2.0000	2.0000	
(2E)-docosenoyl-CoA[m]	2.0000	2.0000	
(2E)-docosenoyl-CoA[p]	2.0000	0.0000	
(2E)-dodecenoyl-[ACP][c]	2.0000	2.0000	
(2E)-dodecenoyl-CoA[m]	6.0000	4.0000	
(2E)-dodecenoyl-CoA[p]	4.0000	3.0000	
(2E)-eicosenoyl-CoA[c]	2.0000	2.0000	
(2E)-eicosenoyl-CoA[m]	2.0000	2.0000	
(2E)-eicosenoyl-CoA[p]	2.0000	0.0000	
(2E)-heneicosenoyl-CoA[c]	2.0000	2.0000	
(2E)-heneicosenoyl-CoA[m]	2.0000	2.0000	
(2E)-heptadecenoyl-[ACP][c]	2.0000	2.0000	
(2E)-heptadecenoyl-CoA[m]	2.0000	2.0000	
(2E)-heptenoyl-[ACP][c]	2.0000	2.0000	
(2E)-heptenoyl-CoA[m]	2.0000	2.0000	
(2E)-hexacosenoyl-CoA[c]	2.0000	2.0000	
(2E)-hexacosenoyl-CoA[p]	2.0000	1.0000	
(2E)-hexadecenoyl-[ACP][c]	2.0000	2.0000	
(2E)-hexadecenoyl-CoA[m]	2.0000	2.0000	
(2E)-hexadecenoyl-CoA[p]	2.0000	1.0000	
(2E)-hexenoyl-[ACP][c]	2.0000	2.0000	
(2E)-hexenoyl-CoA[m]	2.0000	2.0000	
(2E)-hexenoyl-CoA[p]	2.0000	0.0000	
(2E)-nonadecenoyl-CoA[c]	2.0000	2.0000	
(2E)-nonadecenoyl-CoA[m]	2.0000	2.0000	
(2E)-nonenoyl-[ACP][c]	2.0000	2.0000	
(2E)-nonenoyl-CoA[m]	2.0000	2.0000	
(2E)-octadecenoyl-CoA[c]	2.0000	2.0000	
(2E)-octadecenoyl-CoA[m]	2.0000	2.0000	
(2E)-octadecenoyl-CoA[p]	2.0000	0.0000	
(2E)-octenoyl-[ACP][c]	2.0000	2.0000	
(2E)-octenoyl-CoA[m]	2.0000	2.0000	
(2E)-octenoyl-CoA[p]	2.0000	1.0000	
(2E)-pentadecenoyl-[ACP][c]	2.0000	2.0000	
(2E)-pentadecenoyl-CoA[m]	2.0000	2.0000	
(2E)-pentenoyl-[ACP][c]	2.0000	2.0000	
(2E)-pentenoyl-CoA[m]	2.0000	2.0000	
(2E)-tetracosenoyl-CoA[c]	2.0000	2.0000	
(2E)-tetracosenoyl-CoA[p]	2.0000	1.0000	
(2E)-tetradecenoyl-[ACP][c]	2.0000	2.0000	
(2E)-tetradecenoyl-CoA[m]	2.0000	2.0000	
(2E)-tetradecenoyl-CoA[p]	2.0000	0.0000	
(2E)-tricosenoyl-CoA[c]	2.0000	2.0000	
(2E)-tridecenoyl-[ACP][c]	2.0000	2.0000	
(2E)-tridecenoyl-CoA[m]	2.0000	2.0000	
(2E)-undecenoyl-[ACP][c]	2.0000	2.0000	
(2E)-undecenoyl-CoA[m]	2.0000	2.0000	
(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA[m]	2.0000	2.0000	
(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA[p]	2.0000	1.0000	
(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA[m]	2.0000	2.0000	
(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA[p]	2.0000	0.0000	
(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c]	2.0000	1.0000	
(2R)-pristanoyl-CoA[p]	2.0000	0.0000	
(2R,6R,10R)-trimethyl-hendecanoyl-CoA[p]	2.0000	0.0000	
(2R,6S,10S)-pristanate[p]	2.0000	1.0000	
(2S)-pristanoyl-CoA[p]	3.0000	1.0000	
(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA[p]	2.0000	0.0000	
(2S,6R,10R)-trimethyl-hendecanoyl-CoA[p]	2.0000	0.0000	
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[m]	2.0000	2.0000	
(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[p]	2.0000	0.0000	
(3S)-3-hydroxydodec-cis-6-enoyl-CoA[m]	2.0000	2.0000	
(3S)-3-hydroxydodec-cis-6-enoyl-CoA[p]	2.0000	0.0000	
(3S)-3-hydroxylinoleoyl-CoA[m]	2.0000	2.0000	
(3S)-3-hydroxylinoleoyl-CoA[p]	2.0000	0.0000	
(3S)-citramalyl-CoA[m]	3.0000	0.0000	
(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA[c]	2.0000	2.0000	
(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA[c]	2.0000	2.0000	
(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA[c]	2.0000	2.0000	
(3Z)-dodecenoyl-CoA[m]	2.0000	2.0000	
(3Z)-dodecenoyl-CoA[p]	2.0000	2.0000	
(3Z,7Z,10Z)-hexadecatrienoyl-CoA[m]	2.0000	2.0000	
(3Z,7Z,10Z)-hexadecatrienoyl-CoA[p]	2.0000	1.0000	
(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA[p]	2.0000	0.0000	
(4Z,7Z,10Z)-hexadecatrienoyl-CoA[m]	2.0000	2.0000	
(4Z,7Z,10Z)-hexadecatrienoyl-CoA[p]	2.0000	1.0000	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[c]	3.0000	3.0000	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[m]	2.0000	2.0000	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine[r]	2.0000	1.0000	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c]	15.0000	3.0000	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[m]	2.0000	1.0000	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[p]	2.0000	0.0000	
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[r]	3.0000	1.0000	
(4Z,7Z,10Z,13Z,16Z)-DPA[c]	13.0000	3.0000	
(4Z,7Z,10Z,13Z,16Z)-DPA[l]	2.0000	0.0000	
(4Z,7Z,10Z,13Z,16Z)-DPA[r]	3.0000	1.0000	
(4Z,7Z,10Z,13Z,16Z)-DPA[s]	5.0000	2.0000	
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c]	15.0000	4.0000	
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[m]	2.0000	2.0000	
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[p]	2.0000	0.0000	
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[r]	3.0000	1.0000	
(5)ppPur-mRNA[c]	1.0000	0.0000	
(5-L-glutamyl)-L-amino acid[s]	3.0000	1.0000	
(5S,6S)-epoxy-(15R)-hydroxy-ETE[c]	3.0000	2.0000	
(5S,6S)-epoxy-(15R)-hydroxy-ETE[p]	3.0000	2.0000	
(5S,6S)-epoxy-(15R)-hydroxy-ETE[r]	3.0000	2.0000	
(5Z)-dodecenoyl-CoA[m]	2.0000	2.0000	
(5Z)-dodecenoyl-CoA[p]	2.0000	1.0000	
(5Z,8Z,11Z)-eicosatrienoylcarnitine[c]	3.0000	3.0000	
(5Z,8Z,11Z)-eicosatrienoylcarnitine[m]	2.0000	2.0000	
(5Z,8Z,11Z)-eicosatrienoylcarnitine[r]	2.0000	1.0000	
(5Z,8Z,11Z)-eicosatrienoyl-CoA[c]	14.0000	5.0000	
(5Z,8Z,11Z)-eicosatrienoyl-CoA[m]	2.0000	2.0000	
(5Z,8Z,11Z)-eicosatrienoyl-CoA[r]	3.0000	1.0000	
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[c]	3.0000	3.0000	
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[m]	2.0000	2.0000	
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine[r]	2.0000	1.0000	
