ModelNameMAT	ModelNameXML	PatientIndex	ProbabilityThreshold	RelativeGap	ACC	MCC	FisherExactTestp	RxnAddedForTask...	TimeElapsedINIT	TimeElapsedTINIT
TCGA-E6-A1LZ-01A-11R-A144-07	TCGA-E6-A1LZ-01A-11R-A144-07T9900RG5_TINIT.mat	TCGA-E6-A1LZ-01A-11R-A144-07T9900RG5.xml	634	0.99	0.05	0.95611	0.908435	0	0.220397	22091.96949	2598.688638
TCGA-BS-A0TC-01A-11R-A104-07	TCGA-BS-A0TC-01A-11R-A104-07T9900RG5_TINIT.mat	TCGA-BS-A0TC-01A-11R-A104-07T9900RG5.xml	740	0.99	0.05	0.951374	0.903832	0	0.536793	22284.08781	4968.041552
TCGA-CN-6998-01A-23R-2016-07	TCGA-CN-6998-01A-23R-2016-07T9900RG5_TINIT.mat	TCGA-CN-6998-01A-23R-2016-07T9900RG5.xml	73	0.99	0.05	0.952637	0.90349	0	0.618865	19984.80512	6602.311332
TCGA-A8-A07R-01A-21R-A034-07	TCGA-A8-A07R-01A-21R-A034-07T9900RG5_TINIT.mat	TCGA-A8-A07R-01A-21R-A034-07T9900RG5.xml	265	0.99	0.05	0.952005	0.902246	0	0.500104	21710.67143	1700.133455
TCGA-CR-6493-01A-11R-1873-07	TCGA-CR-6493-01A-11R-1873-07T9900RG5_TINIT.mat	TCGA-CR-6493-01A-11R-1873-07T9900RG5.xml	125	0.99	0.05	0.952321	0.901038	0	0.324605	26912.44405	1018.783989
TCGA-BG-A0YV-01A-11R-A10J-07	TCGA-BG-A0YV-01A-11R-A10J-07T9900RG5_TINIT.mat	TCGA-BG-A0YV-01A-11R-A10J-07T9900RG5.xml	631	0.99	0.05	0.949163	0.90008	0	0.448748	18195.84644	8329.929601
TCGA-60-2720-01A-01R-0851-07	TCGA-60-2720-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-60-2720-01A-01R-0851-07T9900RG5.xml	983	0.99	0.05	0.952952	0.898208	0	0.18289	23165.27323	1646.011304
TCGA-60-2710-01A-01R-0851-07	TCGA-60-2710-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-60-2710-01A-01R-0851-07T9900RG5.xml	1039	0.99	0.05	0.953268	0.89782	0	0.199601	26089.894	1195.14454
TCGA-D1-A163-01A-11R-A12I-07	TCGA-D1-A163-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A163-01A-11R-A12I-07T9900RG5.xml	712	0.99	0.05	0.949163	0.897139	0	0.342686	23247.89907	5092.677768
TCGA-BS-A0UA-01A-11R-A118-07	TCGA-BS-A0UA-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-BS-A0UA-01A-11R-A118-07T9900RG5.xml	635	0.99	0.05	0.948532	0.896014	0	0.360036	22897.04698	2138.240245
TCGA-BK-A139-01A-11R-A118-07	TCGA-BK-A139-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-BK-A139-01A-11R-A118-07T9900RG5.xml	654	0.99	0.05	0.9479	0.89573	0	0.393529	17970.2591	2637.838466
TCGA-49-4486-01A-01R-1206-07	TCGA-49-4486-01A-01R-1206-07T9900RG5_TINIT.mat	TCGA-49-4486-01A-01R-1206-07T9900RG5.xml	513	0.99	0.05	0.948532	0.89565	0	0.371341	24876.77499	669.630519
