ModelNameMAT	ModelNameXML	PatientIndex	ProbabilityThreshold	RelativeGap	ACC	MCC	FisherExactTestp	RxnAddedForTask...	TimeElapsedINIT	TimeElapsedTINIT
TCGA-B5-A11J-01A-11R-A118-07	TCGA-B5-A11J-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-B5-A11J-01A-11R-A118-07T9900RG5.xml	648	0.99	0.05	0.949479	0.895569	0	0.361164	23824.04509	3166.943472
TCGA-FI-A2EW-01A-11R-A17B-07	TCGA-FI-A2EW-01A-11R-A17B-07T9900RG5_TINIT.mat	TCGA-FI-A2EW-01A-11R-A17B-07T9900RG5.xml	679	0.99	0.05	0.947584	0.895252	0	0.400759	22088.37926	5204.261649
TCGA-C8-A134-01A-11R-A115-07	TCGA-C8-A134-01A-11R-A115-07T9900RG5_TINIT.mat	TCGA-C8-A134-01A-11R-A115-07T9900RG5.xml	330	0.99	0.05	0.949479	0.895082	0	0.258676	24108.8426	1831.921387
TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-7252-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CV-7252-01A-11R-2016-07T9900RG5.xml	33	0.99	0.05	0.951689	0.894888	0	0.779327	23985.56376	3820.257952
TCGA-CR-6492-01A-12R-2081-07	TCGA-CR-6492-01A-12R-2081-07T9900RG5_TINIT.mat	TCGA-CR-6492-01A-12R-2081-07T9900RG5.xml	105	0.99	0.05	0.951058	0.894772	0	0.225873	26104.05848	1069.976513
TCGA-24-2288-01A-01R-1568-13	TCGA-24-2288-01A-01R-1568-13T9900RG5_TINIT.mat	TCGA-24-2288-01A-01R-1568-13T9900RG5.xml	811	0.99	0.05	0.949479	0.894679	0	0.336488	12675.39766	9397.089637
TCGA-CN-4741-01A-01R-1436-07	TCGA-CN-4741-01A-01R-1436-07T9900RG5_TINIT.mat	TCGA-CN-4741-01A-01R-1436-07T9900RG5.xml	195	0.99	0.05	0.949163	0.894114	0	0.273511	22588.47401	2408.051722
TCGA-CR-6487-01A-11R-1873-07	TCGA-CR-6487-01A-11R-1873-07T9900RG5_TINIT.mat	TCGA-CR-6487-01A-11R-1873-07T9900RG5.xml	220	0.99	0.05	0.949163	0.893925	0	0.24425	21480.46477	1769.072814
TCGA-BB-4223-01A-01R-1436-07	TCGA-BB-4223-01A-01R-1436-07T9900RG5_TINIT.mat	TCGA-BB-4223-01A-01R-1436-07T9900RG5.xml	98	0.99	0.05	0.947269	0.893669	0	0.505939	21588.21495	4282.911348
TCGA-AX-A060-01A-11R-A00V-07	TCGA-AX-A060-01A-11R-A00V-07T9900RG5_TINIT.mat	TCGA-AX-A060-01A-11R-A00V-07T9900RG5.xml	685	0.99	0.05	0.946321	0.892731	0	0.380791	19163.16136	7385.42622
TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-D8-A1Y1-01A-21R-A14M-07T9900RG5_TINIT.mat	TCGA-D8-A1Y1-01A-21R-A14M-07T9900RG5.xml	294	0.99	0.05	0.951058	0.892532	0	0.198373	24532.59333	415.110097
TCGA-DU-6392-01A-11R-1708-07	TCGA-DU-6392-01A-11R-1708-07T9900RG5_TINIT.mat	TCGA-DU-6392-01A-11R-1708-07T9900RG5.xml	775	0.99	0.05	0.947269	0.891748	0	0.571187	20564.44558	5626.642884
TCGA-AA-A022-01A-21R-A16W-07	TCGA-AA-A022-01A-21R-A16W-07T9900RG5_TINIT.mat	TCGA-AA-A022-01A-21R-A16W-07T9900RG5.xml	420	0.99	0.05	0.951689	0.891383	0	0.635425	22469.65054	3455.593907
TCGA-A1-A0SI-01A-11R-A144-07	TCGA-A1-A0SI-01A-11R-A144-07T9900RG5_TINIT.mat	TCGA-A1-A0SI-01A-11R-A144-07T9900RG5.xml	261	0.99	0.05	0.946953	0.891335	0	0.317999	19970.82511	2662.724279
TCGA-CV-7095-01A-21R-2016-07	TCGA-CV-7095-01A-21R-2016-07T9900RG5_TINIT.mat	TCGA-CV-7095-01A-21R-2016-07T9900RG5.xml	101	0.99	0.05	0.950742	0.891252	0	0.238663	29728.9244	259.961792
TCGA-51-4079-01A-01R-1100-07	TCGA-51-4079-01A-01R-1100-07T9900RG5_TINIT.mat	TCGA-51-4079-01A-01R-1100-07T9900RG5.xml	1053	0.99	0.05	0.951689	0.891205	0	0.274671	31790.30324	792.071174
TCGA-CQ-6228-01A-11R-1915-07	TCGA-CQ-6228-01A-11R-1915-07T9900RG5_TINIT.mat	TCGA-CQ-6228-01A-11R-1915-07T9900RG5.xml	106	0.99	0.05	0.950111	0.891171	0	0.19279	23439.64535	1692.116364
TCGA-AA-3979-01A-01R-1022-07	TCGA-AA-3979-01A-01R-1022-07T9900RG5_TINIT.mat	TCGA-AA-3979-01A-01R-1022-07T9900RG5.xml	424	0.99	0.05	0.951058	0.891154	0	0.232558	29167.71291	575.671133
TCGA-CX-7219-01A-11R-2016-07	TCGA-CX-7219-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CX-7219-01A-11R-2016-07T9900RG5.xml	129	0.99	0.05	0.952005	0.891144	0	0.296619	22737.36876	3137.259438
TCGA-CN-5363-01A-01R-1436-07	TCGA-CN-5363-01A-01R-1436-07T9900RG5_TINIT.mat	TCGA-CN-5363-01A-01R-1436-07T9900RG5.xml	68	0.99	0.05	0.949163	0.891008	0	0.502723	25289.52847	2037.720993
TCGA-AP-A0LG-01A-11R-A16W-07	TCGA-AP-A0LG-01A-11R-A16W-07T9900RG5_TINIT.mat	TCGA-AP-A0LG-01A-11R-A16W-07T9900RG5.xml	701	0.99	0.05	0.94569	0.890824	0	0.329308	21189.52648	1694.107563
TCGA-22-4604-01A-01R-1201-07	TCGA-22-4604-01A-01R-1201-07T9900RG5_TINIT.mat	TCGA-22-4604-01A-01R-1201-07T9900RG5.xml	1020	0.99	0.05	0.948216	0.890735	0	0.262414	27208.01168	673.886826
TCGA-22-4595-01A-01R-1201-07	TCGA-22-4595-01A-01R-1201-07T9900RG5_TINIT.mat	TCGA-22-4595-01A-01R-1201-07T9900RG5.xml	988	0.99	0.05	0.947584	0.890375	0	0.284553	16531.40929	3094.276991
TCGA-CQ-6221-01A-11R-2081-07	TCGA-CQ-6221-01A-11R-2081-07T9900RG5_TINIT.mat	TCGA-CQ-6221-01A-11R-2081-07T9900RG5.xml	196	0.99	0.05	0.947584	0.890375	0	0.172712	22055.01412	2263.139289
TCGA-22-5473-01A-01R-1635-07	TCGA-22-5473-01A-01R-1635-07T9900RG5_TINIT.mat	TCGA-22-5473-01A-01R-1635-07T9900RG5.xml	1017	0.99	0.05	0.950111	0.890153	0	0.302786	27832.45397	472.45905
TCGA-D1-A17A-01A-11R-A12I-07	TCGA-D1-A17A-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A17A-01A-11R-A12I-07T9900RG5.xml	651	0.99	0.05	0.945374	0.890144	0	0.359308	23269.24724	2235.870325
TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01A-11R-A10U-07T9900RG5_TINIT.mat	TCGA-BL-A13J-01A-11R-A10U-07T9900RG5.xml	9	0.99	0.05	0.952952	0.890136	0	0.153081	27066.62423	710.479009
TCGA-D6-6515-01A-21R-1873-07	TCGA-D6-6515-01A-21R-1873-07T9900RG5_TINIT.mat	TCGA-D6-6515-01A-21R-1873-07T9900RG5.xml	126	0.99	0.05	0.949795	0.889851	0	0.212848	14368.03128	2400.54686
TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A20N-01A-11R-A14Y-07T9900RG5_TINIT.mat	TCGA-BT-A20N-01A-11R-A14Y-07T9900RG5.xml	15	0.99	0.05	0.951689	0.889823	0	0.215012	27358.26806	662.957416
TCGA-26-1442-01A-01R-1850-01	TCGA-26-1442-01A-01R-1850-01T9900RG5_TINIT.mat	TCGA-26-1442-01A-01R-1850-01T9900RG5.xml	496	0.99	0.05	0.946953	0.889778	0	0.205804	21314.36462	1672.482244
TCGA-D6-6824-01A-11R-1915-07	TCGA-D6-6824-01A-11R-1915-07T9900RG5_TINIT.mat	TCGA-D6-6824-01A-11R-1915-07T9900RG5.xml	25	0.99	0.05	0.949163	0.88966	0	0.178678	27468.14204	779.382511
TCGA-B5-A0K4-01A-11R-A040-07	TCGA-B5-A0K4-01A-11R-A040-07T9900RG5_TINIT.mat	TCGA-B5-A0K4-01A-11R-A040-07T9900RG5.xml	698	0.99	0.05	0.942848	0.889565	0	0.533148	16741.511	4589.587472
TCGA-D1-A17Q-01A-11R-A12I-07	TCGA-D1-A17Q-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A17Q-01A-11R-A12I-07T9900RG5.xml	739	0.99	0.05	0.943795	0.889409	0	0.682128	15791.08495	10939.47061
TCGA-AA-3556-01A-01R-0821-07	TCGA-AA-3556-01A-01R-0821-07T9900RG5_TINIT.mat	TCGA-AA-3556-01A-01R-0821-07T9900RG5.xml	425	0.99	0.05	0.951058	0.889077	0	0.240915	29830.97161	420.040462
TCGA-B5-A11G-01A-13R-A118-07	TCGA-B5-A11G-01A-13R-A118-07T9900RG5_TINIT.mat	TCGA-B5-A11G-01A-13R-A118-07T9900RG5.xml	759	0.99	0.05	0.94348	0.88894	0	0.440324	18448.21502	7690.866479
TCGA-HT-7684-01A-11R-2256-07	TCGA-HT-7684-01A-11R-2256-07T9900RG5_TINIT.mat	TCGA-HT-7684-01A-11R-2256-07T9900RG5.xml	786	0.99	0.05	0.945058	0.888868	0	0.27879	21261.56614	1528.998112
TCGA-D8-A27M-01A-11R-A16F-07	TCGA-D8-A27M-01A-11R-A16F-07T9900RG5_TINIT.mat	TCGA-D8-A27M-01A-11R-A16F-07T9900RG5.xml	222	0.99	0.05	0.948847	0.888849	0	0.229214	27789.22322	950.626634
TCGA-12-0618-01A-01R-1849-01	TCGA-12-0618-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-12-0618-01A-01R-1849-01T9900RG5.xml	506	0.99	0.05	0.947269	0.888444	0	0.306011	21269.42753	2014.706275
TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-6955-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CV-6955-01A-11R-2016-07T9900RG5.xml	153	0.99	0.05	0.946637	0.888265	0	0.268152	25630.47029	1333.952185
TCGA-AX-A063-01A-11R-A00V-07	TCGA-AX-A063-01A-11R-A00V-07T9900RG5_TINIT.mat	TCGA-AX-A063-01A-11R-A00V-07T9900RG5.xml	691	0.99	0.05	0.944427	0.888173	0	0.333259	13631.58397	3268.368075
TCGA-DQ-5631-01A-01R-1873-07	TCGA-DQ-5631-01A-01R-1873-07T9900RG5_TINIT.mat	TCGA-DQ-5631-01A-01R-1873-07T9900RG5.xml	91	0.99	0.05	0.946953	0.888079	0	0.287802	23497.3162	3305.861725
TCGA-18-3416-01A-01R-0980-07	TCGA-18-3416-01A-01R-0980-07T9900RG5_TINIT.mat	TCGA-18-3416-01A-01R-0980-07T9900RG5.xml	992	0.99	0.05	0.944111	0.888039	0	0.266134	24782.68262	1555.383699
TCGA-AR-A0U0-01A-11R-A109-07	TCGA-AR-A0U0-01A-11R-A109-07T9900RG5_TINIT.mat	TCGA-AR-A0U0-01A-11R-A109-07T9900RG5.xml	301	0.99	0.05	0.945058	0.887853	0	0.430293	18291.29446	4647.235931
TCGA-D1-A176-01A-11R-A12I-07	TCGA-D1-A176-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A176-01A-11R-A12I-07T9900RG5.xml	670	0.99	0.05	0.942532	0.887736	0	0.633505	19351.23068	3772.48014
TCGA-BA-5151-01A-01R-1436-07	TCGA-BA-5151-01A-01R-1436-07T9900RG5_TINIT.mat	TCGA-BA-5151-01A-01R-1436-07T9900RG5.xml	165	0.99	0.05	0.946953	0.887561	0	0.260813	14339.36245	4120.623823
TCGA-AA-A02O-01A-21R-A16W-07	TCGA-AA-A02O-01A-21R-A16W-07T9900RG5_TINIT.mat	TCGA-AA-A02O-01A-21R-A16W-07T9900RG5.xml	385	0.99	0.05	0.950426	0.886623	0	0.238379	25348.18278	626.698846
TCGA-CN-5360-01A-01R-1436-07	TCGA-CN-5360-01A-01R-1436-07T9900RG5_TINIT.mat	TCGA-CN-5360-01A-01R-1436-07T9900RG5.xml	178	0.99	0.05	0.949163	0.886479	0	0.253115	30961.16028	518.195011
TCGA-D8-A1X6-01A-11R-A14M-07	TCGA-D8-A1X6-01A-11R-A14M-07T9900RG5_TINIT.mat	TCGA-D8-A1X6-01A-11R-A14M-07T9900RG5.xml	322	0.99	0.05	0.948532	0.886451	0	0.831557	26228.25638	1311.361255
TCGA-D1-A167-01A-11R-A12I-07	TCGA-D1-A167-01A-11R-A12I-07T9900RG5_TINIT.mat	TCGA-D1-A167-01A-11R-A12I-07T9900RG5.xml	681	0.99	0.05	0.942532	0.886451	0	0.371402	19660.02758	2021.805255
TCGA-21-1076-01A-01R-0692-07	TCGA-21-1076-01A-01R-0692-07T9900RG5_TINIT.mat	TCGA-21-1076-01A-01R-0692-07T9900RG5.xml	979	0.99	0.05	0.947269	0.886043	0	0.200884	21699.70488	1991.652363
TCGA-34-2600-01A-01R-0851-07	TCGA-34-2600-01A-01R-0851-07T9900RG5_TINIT.mat	TCGA-34-2600-01A-01R-0851-07T9900RG5.xml	1051	0.99	0.05	0.94348	0.886037	0	0.380308	26462.51356	2009.746989
TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-BH-A1FC-01A-11R-A13Q-07T9900RG5_TINIT.mat	TCGA-BH-A1FC-01A-11R-A13Q-07T9900RG5.xml	276	0.99	0.05	0.946006	0.885991	0	0.353651	23667.31347	2840.194209
TCGA-BG-A0M4-01A-11R-A104-07	TCGA-BG-A0M4-01A-11R-A104-07T9900RG5_TINIT.mat	TCGA-BG-A0M4-01A-11R-A104-07T9900RG5.xml	636	0.99	0.05	0.943795	0.885969	0	0.409924	23345.25093	2640.312529
TCGA-CR-5243-01A-01R-1514-07	TCGA-CR-5243-01A-01R-1514-07T9900RG5_TINIT.mat	TCGA-CR-5243-01A-01R-1514-07T9900RG5.xml	64	0.99	0.05	0.944743	0.885743	0	0.292826	25322.82426	2019.796612
TCGA-AX-A05S-01A-11R-A00V-07	TCGA-AX-A05S-01A-11R-A00V-07T9900RG5_TINIT.mat	TCGA-AX-A05S-01A-11R-A00V-07T9900RG5.xml	678	0.99	0.05	0.943795	0.885661	0	0.257898	22606.29895	1902.037993
TCGA-06-2558-01A-01R-1849-01	TCGA-06-2558-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-06-2558-01A-01R-1849-01T9900RG5.xml	502	0.99	0.05	0.946637	0.885597	0	0.275424	22725.83603	1675.489559
TCGA-06-5417-01A-01R-1849-01	TCGA-06-5417-01A-01R-1849-01T9900RG5_TINIT.mat	TCGA-06-5417-01A-01R-1849-01T9900RG5.xml	487	0.99	0.05	0.942217	0.885559	0	0.345622	15439.73668	2942.324583
TCGA-CX-7082-01A-11R-2016-07	TCGA-CX-7082-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CX-7082-01A-11R-2016-07T9900RG5.xml	151	0.99	0.05	0.944743	0.885544	0	0.236356	25389.93186	2061.092403
TCGA-EW-A1OZ-01A-11R-A144-07	TCGA-EW-A1OZ-01A-11R-A144-07T9900RG5_TINIT.mat	TCGA-EW-A1OZ-01A-11R-A144-07T9900RG5.xml	295	0.99	0.05	0.942848	0.885215	0	0.258509	17234.72303	2875.792061
TCGA-CV-5442-01A-01R-1514-07	TCGA-CV-5442-01A-01R-1514-07T9900RG5_TINIT.mat	TCGA-CV-5442-01A-01R-1514-07T9900RG5.xml	110	0.99	0.05	0.942217	0.885213	0	0.591043	21933.87485	6498.360356
TCGA-46-3769-01A-01R-0980-07	TCGA-46-3769-01A-01R-0980-07T9900RG5_TINIT.mat	TCGA-46-3769-01A-01R-0980-07T9900RG5.xml	1079	0.99	0.05	0.944111	0.8852	0	0.290155	16622.74384	1049.616606
TCGA-66-2758-01A-02R-0851-07	TCGA-66-2758-01A-02R-0851-07T9900RG5_TINIT.mat	TCGA-66-2758-01A-02R-0851-07T9900RG5.xml	1018	0.99	0.05	0.945058	0.885119	0	0.30205	23491.89816	2299.445221
TCGA-24-2267-01A-01R-1568-13	TCGA-24-2267-01A-01R-1568-13T9900RG5_TINIT.mat	TCGA-24-2267-01A-01R-1568-13T9900RG5.xml	819	0.99	0.05	0.944111	0.884887	0	0.315391	35593.9769	2489.065719
TCGA-D1-A15Z-01A-11R-A118-07	TCGA-D1-A15Z-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-D1-A15Z-01A-11R-A118-07T9900RG5.xml	672	0.99	0.05	0.941585	0.88476	0	0.403587	18674.31255	2570.455123
TCGA-D1-A0ZR-01A-21R-A10J-07	TCGA-D1-A0ZR-01A-21R-A10J-07T9900RG5_TINIT.mat	TCGA-D1-A0ZR-01A-21R-A10J-07T9900RG5.xml	708	0.99	0.05	0.941269	0.884584	0	0.398967	17046.62614	2714.362156
TCGA-34-5929-01A-11R-1820-07	TCGA-34-5929-01A-11R-1820-07T9900RG5_TINIT.mat	TCGA-34-5929-01A-11R-1820-07T9900RG5.xml	1000	0.99	0.05	0.944111	0.884459	0	0.363403	24608.31857	1848.037921
TCGA-CV-7243-01A-11R-2016-07	TCGA-CV-7243-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CV-7243-01A-11R-2016-07T9900RG5.xml	39	0.99	0.05	0.946006	0.884242	0	0.247883	25478.99958	1643.709047
TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-7255-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CV-7255-01A-11R-2016-07T9900RG5.xml	130	0.99	0.05	0.946321	0.883976	0	0.229981	26100.62643	1413.257509
TCGA-AX-A2HF-01A-11R-A17B-07	TCGA-AX-A2HF-01A-11R-A17B-07T9900RG5_TINIT.mat	TCGA-AX-A2HF-01A-11R-A17B-07T9900RG5.xml	751	0.99	0.05	0.940006	0.883898	0	0.930127	26758.76144	3171.778055
TCGA-DH-5142-01A-01R-1470-07	TCGA-DH-5142-01A-01R-1470-07T9900RG5_TINIT.mat	TCGA-DH-5142-01A-01R-1470-07T9900RG5.xml	784	0.99	0.05	0.946953	0.883819	0	0.265523	25849.23018	1407.625168
TCGA-AG-4001-01A-02R-1119-07	TCGA-AG-4001-01A-02R-1119-07T9900RG5_TINIT.mat	TCGA-AG-4001-01A-02R-1119-07T9900RG5.xml	343	0.99	0.05	0.9479	0.883811	0	0.22779	23662.42469	845.34006
TCGA-33-4532-01A-01R-1201-07	TCGA-33-4532-01A-01R-1201-07T9900RG5_TINIT.mat	TCGA-33-4532-01A-01R-1201-07T9900RG5.xml	1031	0.99	0.05	0.944427	0.883745	0	0.235386	20575.59796	2359.578101
TCGA-AP-A0LN-01A-11R-A040-07	TCGA-AP-A0LN-01A-11R-A040-07T9900RG5_TINIT.mat	TCGA-AP-A0LN-01A-11R-A040-07T9900RG5.xml	761	0.99	0.05	0.940638	0.883738	0	0.829039	18991.31862	3986.306289
TCGA-CR-7372-01A-11R-2016-07	TCGA-CR-7372-01A-11R-2016-07T9900RG5_TINIT.mat	TCGA-CR-7372-01A-11R-2016-07T9900RG5.xml	95	0.99	0.05	0.946321	0.883524	0	0.243754	26659.8013	1452.319008
TCGA-CN-6023-01A-11R-1686-07	TCGA-CN-6023-01A-11R-1686-07T9900RG5_TINIT.mat	TCGA-CN-6023-01A-11R-1686-07T9900RG5.xml	193	0.99	0.05	0.944743	0.883119	0	0.29819	29437.42525	987.496254
TCGA-D1-A103-01A-11R-A10J-07	TCGA-D1-A103-01A-11R-A10J-07T9900RG5_TINIT.mat	TCGA-D1-A103-01A-11R-A10J-07T9900RG5.xml	747	0.99	0.05	0.940006	0.883058	0	0.806823	9529.497539	5009.476943
TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-BT-A20U-01A-11R-A14Y-07T9900RG5_TINIT.mat	TCGA-BT-A20U-01A-11R-A14Y-07T9900RG5.xml	8	0.99	0.05	0.94569	0.883046	0	0.330579	27833.04513	645.189438
TCGA-06-0644-01A-02R-1849-01	TCGA-06-0644-01A-02R-1849-01T9900RG5_TINIT.mat	TCGA-06-0644-01A-02R-1849-01T9900RG5.xml	491	0.99	0.05	0.943795	0.883046	0	0.235395	21602.07073	1646.754188
TCGA-FI-A2D2-01A-11R-A17B-07	TCGA-FI-A2D2-01A-11R-A17B-07T9900RG5_TINIT.mat	TCGA-FI-A2D2-01A-11R-A17B-07T9900RG5.xml	723	0.99	0.05	0.940638	0.882979	0	0.809623	20184.86445	6280.557629
TCGA-22-1011-01A-01R-0692-07	TCGA-22-1011-01A-01R-0692-07T9900RG5_TINIT.mat	TCGA-22-1011-01A-01R-0692-07T9900RG5.xml	1026	0.99	0.05	0.946953	0.882887	0	0.3	26870.66949	1954.882348
TCGA-24-1616-01A-01R-1566-13	TCGA-24-1616-01A-01R-1566-13T9900RG5_TINIT.mat	TCGA-24-1616-01A-01R-1566-13T9900RG5.xml	817	0.99	0.05	0.942532	0.882725	0	0.360036	18269.43507	3994.028539
TCGA-AP-A0LJ-01A-11R-A040-07	TCGA-AP-A0LJ-01A-11R-A040-07T9900RG5_TINIT.mat	TCGA-AP-A0LJ-01A-11R-A040-07T9900RG5.xml	724	0.99	0.05	0.940322	0.882569	0	0.532038	15009.40837	3590.270125
TCGA-BG-A0VX-01A-11R-A118-07	TCGA-BG-A0VX-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-BG-A0VX-01A-11R-A118-07T9900RG5.xml	702	0.99	0.05	0.940638	0.882418	0	0.421141	24960.47194	4131.714873
TCGA-E2-A159-01A-11R-A115-07	TCGA-E2-A159-01A-11R-A115-07T9900RG5_TINIT.mat	TCGA-E2-A159-01A-11R-A115-07T9900RG5.xml	225	0.99	0.05	0.942532	0.882403	0	0.561041	21755.67642	1661.568677
TCGA-18-3421-01A-01R-0980-07	TCGA-18-3421-01A-01R-0980-07T9900RG5_TINIT.mat	TCGA-18-3421-01A-01R-0980-07T9900RG5.xml	1006	0.99	0.05	0.942532	0.882383	0	0.298444	26167.04449	1100.738011
TCGA-D1-A0ZN-01A-11R-A118-07	TCGA-D1-A0ZN-01A-11R-A118-07T9900RG5_TINIT.mat	TCGA-D1-A0ZN-01A-11R-A118-07T9900RG5.xml	716	0.99	0.05	0.941269	0.882349	0	0.536553	24425.2248	3781.88997
TCGA-E2-A14Y-01A-21R-A12D-07	TCGA-E2-A14Y-01A-21R-A12D-07T9900RG5_TINIT.mat	TCGA-E2-A14Y-01A-21R-A12D-07T9900RG5.xml	280	0.99	0.05	0.941585	0.88231	0	0.534759	23975.70644	2612.410601
TCGA-CN-6989-01A-11R-1915-07	TCGA-CN-6989-01A-11R-1915-07T9900RG5_TINIT.mat	TCGA-CN-6989-01A-11R-1915-07T9900RG5.xml	203	0.99	0.05	0.947269	0.882276	0	0.245399	30696.40069	396.544747
TCGA-AG-3896-01A-01R-1119-07	TCGA-AG-3896-01A-01R-1119-07T9900RG5_TINIT.mat	TCGA-AG-3896-01A-01R-1119-07T9900RG5.xml	362	0.99	0.05	0.949479	0.882133	0	0.195848	15468.62597	2016.501317
TCGA-22-5492-01A-01R-1635-07	TCGA-22-5492-01A-01R-1635-07T9900RG5_TINIT.mat	TCGA-22-5492-01A-01R-1635-07T9900RG5.xml	954	0.99	0.05	0.946006	0.882062	0	0.262573	23600.3403	2416.348098
TCGA-E2-A1LG-01A-21R-A14M-07	TCGA-E2-A1LG-01A-21R-A14M-07T9900RG5_TINIT.mat	TCGA-E2-A1LG-01A-21R-A14M-07T9900RG5.xml	275	0.99	0.05	0.941269	0.881914	0	0.574053	16303.08902	8589.910389
TCGA-18-3411-01A-01R-0980-07	TCGA-18-3411-01A-01R-0980-07T9900RG5_TINIT.mat	TCGA-18-3411-01A-01R-0980-07T9900RG5.xml	1033	0.99	0.05	0.943795	0.881893	0	0.292826	25568.56324	1572.447942
TCGA-BG-A0VZ-01A-11R-A109-07	TCGA-BG-A0VZ-01A-11R-A109-07T9900RG5_TINIT.mat	TCGA-BG-A0VZ-01A-11R-A109-07T9900RG5.xml	643	0.99	0.05	0.940638	0.88185	0	0.465426	17965.95624	2654.144581
TCGA-AG-3575-01A-01R-0821-07	TCGA-AG-3575-01A-01R-0821-07T9900RG5_TINIT.mat	TCGA-AG-3575-01A-01R-0821-07T9900RG5.xml	376	0.99	0.05	0.94348	0.881768	0	0.797314	22936.55392	2959.960805
